http_method,path,parameter,location,total,classes_total,classes_covered,epc,missing_classes
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,49,4,2,0.5000,empty|long
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,49,4,2,0.5000,empty|long
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,49,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,99,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,99,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,99,3,2,0.6667,negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,99,4,2,0.5000,empty|long
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,99,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,accountId,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,consignee,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,from,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,handleDate,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,id,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,orderId,body,20,4,1,0.2500,empty|short|long
PUT,/api/v1/consignservice/consigns,phone,body,20,4,1,0.2500,empty|short|long
PUT,/api/v1/consignservice/consigns,targetDate,body,20,4,1,0.2500,empty|short|long
PUT,/api/v1/consignservice/consigns,to,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,weight,body,20,4,2,0.5000,zero|negative
PUT,/api/v1/consignservice/consigns,within,body,20,2,2,1.0000,
