scenario,test_method,test_kind,step_idx,http_method,path,parameter,stem,value,provenance,classification
Flow_Scenario_1,test_positive_flow_S1_v15,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v16,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,qa_tester,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v17,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,qa_tester,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v18,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,dev_user,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v19,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,support_agent,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v20,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,support_agent,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1703,test_positive_flow_S1703_v1,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,8,UNKNOWN,unknown
Flow_Scenario_1703,test_positive_flow_S1703_v2,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a1b2c3d4-e5f6-7890-abcd-ef1234567890,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v3,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-123,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v4,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,NEGATIVE_FAULT,negative
Flow_Scenario_1703,test_positive_flow_S1703_v5,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,NEGATIVE_FAULT,negative
Flow_Scenario_1703,test_positive_flow_S1703_v6,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v7,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v8,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v9,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v11,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,084837,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v12,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,S1703,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v13,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-from-db,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v14,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,92708982-77af-4318-be25-57ccb0ff69ad,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v15,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,5,UNKNOWN,unknown
Flow_Scenario_1703,test_positive_flow_S1703_v16,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,12,UNKNOWN,unknown
Flow_Scenario_1703,test_positive_flow_S1703_v17,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,NEGATIVE_FAULT,negative
Flow_Scenario_1703,test_positive_flow_S1703_v18,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v19,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v20,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_123,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v21,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,NEGATIVE_FAULT,negative
Flow_Scenario_1703,test_positive_flow_S1703_v25,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,084837,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v26,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,20eb7122-3a11-423f-b10a-be0dc5bce7db,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v27,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v28,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v30,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a3f256c1-0e43-4f7d-9c21-121bf258101f,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v33,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v35,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v37,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v39,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,d693a2c5-ef87-4a3c-bef8-600b43f62c68,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v40,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-001,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v42,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-from-system,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v48,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,92708982-77af-4318-be25-57ccb0ff69ad,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v58,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,084837,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v62,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,d693a2c5-ef87-4a3c-bef8-600b43f62c68,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v63,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-123,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v64,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,d001b2e0-0e1a-4e3a-9c8c-0b0a0b0c0d0e,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v68,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v71,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,NEGATIVE_FAULT,negative
Flow_Scenario_1703,test_positive_flow_S1703_v72,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v73,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v75,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-uuid,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v76,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v78,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existingStationId,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v80,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a3f256c1-0e43-4f7d-9c21-121bf258101f,SMART_FETCH,smart_fetch
Flow_Scenario_1703,test_positive_flow_S1703_v81,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-from-database,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v88,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a1e1f1b1-1c1d-1e1f-1a1b-1c1d1e1f1a1b,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v89,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-from-database,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v93,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a1e3f8c2-7b4d-4e6f-9a0b-1c2d3e4f5a6b,LLM,llm
Flow_Scenario_1703,test_positive_flow_S1703_v100,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_here,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v1,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,TR-100,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v2,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-006,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v3,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-003,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v4,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,1b23bd3e-876a-4af3-b920-c50a90c90b05,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v5,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,EX-502,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v6,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,EX-500,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v7,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-008,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v8,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,EX-501,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v9,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,NEW-EX-500,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v10,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-005,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v11,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,EX-999,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v12,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-011,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v13,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-099,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v14,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,TR-201,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v15,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T99999,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v16,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,EX-601,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v17,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-010,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v18,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,e7b3c4d5-6f8a-4b2c-9e1d-0a3b5c7d9e1f,LLM,llm
Flow_Scenario_1752,test_positive_flow_S1752_v19,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-002,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1752,test_positive_flow_S1752_v20,positive,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,T-008,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1929,test_positive_flow_S1929_v1,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v1,positive,2,PUT,/api/v1/consignservice/consigns,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v1,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v2,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,7jh90mqol6DgaiEL,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v2,positive,2,PUT,/api/v1/consignservice/consigns,id,,d693a2c5-ef87-4a3c-bef8-600b43f62c68,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v2,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v3,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v3,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v3,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v4,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v4,positive,2,PUT,/api/v1/consignservice/consigns,id,,1367db1f-461e-4ab7-87ad-2bcc05fd9cb7,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v4,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v5,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v5,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v5,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v6,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v6,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v6,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v7,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v7,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v7,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v8,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,b806914f-365a-47a5-a612-a64955d9e93,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v8,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v8,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v9,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,XBh,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v9,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v9,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v10,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v10,positive,2,PUT,/api/v1/consignservice/consigns,id,,9fc9c261-3263-4bfa-82f8-bb44e06b2f52,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v10,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v11,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v11,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v11,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v12,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v12,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v12,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v13,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,7jh90mqol6DgaiEL,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v13,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v13,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v14,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,b806914f-365a-47a5-a612-a64955d9e93,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v14,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v14,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v15,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v15,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v15,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v16,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v16,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v16,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v17,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v17,positive,2,PUT,/api/v1/consignservice/consigns,id,,084837,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v17,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v18,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v18,positive,2,PUT,/api/v1/consignservice/consigns,id,,20eb7122-3a11-423f-b10a-be0dc5bce7db,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v18,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v19,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,XBh,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v19,positive,2,PUT,/api/v1/consignservice/consigns,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v19,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v20,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,user_001_abc123def456,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v20,positive,2,PUT,/api/v1/consignservice/consigns,id,,92708982-77af-4318-be25-57ccb0ff69ad,SMART_FETCH,smart_fetch
Flow_Scenario_1929,test_positive_flow_S1929_v20,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD-20260505-001,SMART_FETCH,smart_fetch
Flow_Scenario_2498,test_positive_flow_S2498_v1,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,existing_train_type_id_here,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v2,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,existing_train_type_id,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v3,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,existingTrainTypeId,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v4,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,1,NEGATIVE_FAULT,negative
Flow_Scenario_2498,test_positive_flow_S2498_v5,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,Z1234,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v6,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,G1234,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v7,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,existing_train_type_id_here,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v8,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,9fc9c261-3263-4bfa-82f8-bb44e06b2f52,SMART_FETCH,smart_fetch
Flow_Scenario_2498,test_positive_flow_S2498_v9,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,GaoTieOne,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v10,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,G123,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v11,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_2498,test_positive_flow_S2498_v12,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,G1234,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v13,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,existingTrainTypeId,LLM,llm
Flow_Scenario_2498,test_positive_flow_S2498_v14,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,T12345,SMART_FETCH,smart_fetch
Flow_Scenario_2498,test_positive_flow_S2498_v15,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,existingTrainTypeId,LLM,llm
